territorio,escenario,indicador,valor
CALDAS,Mayo 2026 - Primera vuelta,Votos nulos,9719
CALDAS,Junio 2026 - Segunda vuelta proyectada,Votos nulos,7011
CALDAS,Mayo 2026 - Primera vuelta,Votos no marcados,1829
CALDAS,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1949
CAQUETA,Mayo 2026 - Primera vuelta,Potencial,327418
CAQUETA,Junio 2026 - Segunda vuelta proyectada,Potencial,327418
CAQUETA,Mayo 2026 - Primera vuelta,Sufragantes,174993
CAQUETA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,173656
CAQUETA,Mayo 2026 - Primera vuelta,Votos válidos,171296
CAQUETA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,169374
CAQUETA,Mayo 2026 - Primera vuelta,Votos por candidatos,166351
CAQUETA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,162209
CAQUETA,Mayo 2026 - Primera vuelta,Voto en blanco,4945
CAQUETA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,7165
CAQUETA,Mayo 2026 - Primera vuelta,Votos nulos,2707
CAQUETA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,3057
CAQUETA,Mayo 2026 - Primera vuelta,Votos no marcados,990
CAQUETA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1225
CASANARE,Mayo 2026 - Primera vuelta,Potencial,328773
CASANARE,Junio 2026 - Segunda vuelta proyectada,Potencial,328773
CASANARE,Mayo 2026 - Primera vuelta,Sufragantes,222503
CASANARE,Junio 2026 - Segunda vuelta proyectada,Sufragantes,208331
CASANARE,Mayo 2026 - Primera vuelta,Votos válidos,218942
CASANARE,Junio 2026 - Segunda vuelta proyectada,Votos válidos,205584
CASANARE,Mayo 2026 - Primera vuelta,Votos por candidatos,215037
CASANARE,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,198666
CASANARE,Mayo 2026 - Primera vuelta,Voto en blanco,3905
CASANARE,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,6918
CASANARE,Mayo 2026 - Primera vuelta,Votos nulos,3063
CASANARE,Junio 2026 - Segunda vuelta proyectada,Votos nulos,2392
CASANARE,Mayo 2026 - Primera vuelta,Votos no marcados,498
CASANARE,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,355
