departamento,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipios,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada_depto,potencial
68,1006,9,3,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,VAUPES,6,28,88,9254,9178,0.0003268685988232,0.0003241841365895,16856,26110
68,3001,5,53,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,VAUPES,6,28,88,9254,9178,0.0057746785792111,0.0057272530797492,16856,26110
72,0,996,334,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,VICHADA,4,58,197,21571,21307,0.015675599568217,0.0154837513328079,35784,57355
72,0,997,169,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,VICHADA,4,58,197,21571,21307,,0.0078345927402531,35784,57355
72,0,998,95,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,VICHADA,4,58,197,21571,21307,,0.0044040610078345,35784,57355
72,9,11,954,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,VICHADA,4,58,197,21571,21307,0.0447740179283803,0.0442260442260442,35784,57355
72,15,12,293,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,VICHADA,4,58,197,21571,21307,0.0137513493218191,0.0135830513189003,35784,57355
72,20,6,35,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,VICHADA,4,58,197,21571,21307,0.001642652649364,0.0016225487923601,35784,57355
72,21,10,6,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,VICHADA,4,58,197,21571,21307,0.0002815975970338,0.0002781512215474,35784,57355
72,22,8,35,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,VICHADA,4,58,197,21571,21307,0.001642652649364,0.0016225487923601,35784,57355
72,26,1,9769,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,VICHADA,4,58,197,21571,21307,0.4584878209039283,0.4528765472161699,35784,57355
72,1001,3,312,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,VICHADA,4,58,197,21571,21307,0.0146430750457596,0.0144638635204672,35784,57355
72,1002,7,25,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,VICHADA,4,58,197,21571,21307,0.0011733233209743,0.0011589634231143,35784,57355
72,1003,4,9334,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,VICHADA,4,58,197,21571,21307,0.438071995118975,0.4327105836539799,35784,57355
72,1004,2,92,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,VICHADA,4,58,197,21571,21307,0.0043178298211855,0.0042649853970608,35784,57355
72,1005,13,19,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,VICHADA,4,58,197,21571,21307,0.0008917257239404,0.0008808122015669,35784,57355
72,1006,9,29,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,VICHADA,4,58,197,21571,21307,0.0013610550523302,0.0013443975708126,35784,57355
72,3001,5,70,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,VICHADA,4,58,197,21571,21307,0.0032853052987281,0.0032450975847202,35784,57355
88,0,996,4529,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,CONSULADOS,67,142,2181,589829,588573,0.0076948823680325,0.0076784966490287,824832,1414661
