departamento,municipio,departamento_nombre,municipio_nombre,total_votos_mmv,votos_validos,ABELARDO DE LA ESPRIELLA,CARLOS CAICEDO,CLAUDIA LOPEZ,GUSTAVO MATAMORROS,IVAN CEPEDA,LUIS GILBERTO MURILLO,MAURICIO LIZCANO,MIGUEL URIBE,NO MARCADOS,PALOMA VALENCIA,ROY BARRERAS,SANTIAGO BOTERO,SERGIO FAJARDO,SONDRA MACOLLINS,VOTO EN BLANCO,VOTO NULO,votos_abelardo,votos_cepeda,margen_abelardo_vs_cepeda,ganador_2v_base,margen_abs,margen_pp_validos,voto_blanco,voto_nulo,no_marcados,abstencion_estimada,bolsa_indefinida,score_disputa,score_oportunidad,potencial
17,28,CHOCO,NOVITA,2167,2090,352,3,15,0,1463,9,19,20,10,113,1,11,15,6,63,67,352,1463,-1111,IVAN CEPEDA,1111,0.531578947368421,63,67,10,3855.0,3995.0,0.14116866500402725,1.1707186758739079,6022.0
17,31,CHOCO,NUQUI,3025,3008,307,1,6,1,2567,2,3,4,9,47,12,20,16,0,22,8,307,2567,-2260,IVAN CEPEDA,2260,0.7513297872340425,22,8,9,4150.0,4189.0,0.10520228173034643,0.8774350032303703,7175.0
17,32,CHOCO,RIO IRO,1622,1574,316,3,15,1,1078,4,7,3,2,79,2,10,9,9,38,46,316,1078,-762,IVAN CEPEDA,762,0.4841168996188056,38,46,2,3085.0,3171.0,0.1489932960588734,1.2012014718688258,4707.0
17,34,CHOCO,RIOSUCIO,5985,5845,655,5,11,4,4914,3,14,7,16,106,3,28,34,4,57,124,655,4914,-4259,IVAN CEPEDA,4259,0.7286569717707442,57,124,16,8237.0,8434.0,0.11742274529513513,1.0615186431766352,14222.0
17,35,CHOCO,RIO QUITO (PAIMADO),3408,3311,611,5,26,6,2359,14,14,12,8,138,12,24,35,15,40,89,611,2359,-1748,IVAN CEPEDA,1748,0.5279371790999698,40,89,8,4156.0,4293.0,0.1506738673290114,1.2603829794379093,7564.0
17,37,CHOCO,SAN JOSE DEL PALMAR,1422,1380,408,1,9,0,816,1,2,8,10,55,5,33,13,3,26,32,408,816,-408,IVAN CEPEDA,408,0.2956521739130435,26,32,10,2850.0,2918.0,0.23656181013999106,1.8875258245896689,4272.0
17,38,CHOCO,EL LITORAL DEL SAN JUAN,4365,4328,95,0,8,2,4179,0,5,4,6,4,0,8,6,1,16,31,95,4179,-4084,IVAN CEPEDA,4084,0.94362292051756,16,31,6,4829.0,4882.0,0.08780296349103742,0.7457557930803822,9194.0
17,40,CHOCO,SIPI,1100,1079,83,1,2,0,939,0,3,1,7,22,1,5,6,0,16,14,83,939,-856,IVAN CEPEDA,856,0.7933271547729379,16,14,7,2086.0,2123.0,0.08694734490946605,0.6661085116480803,3186.0
17,43,CHOCO,TADO,5455,5221,839,9,50,8,3771,13,15,30,51,248,14,43,22,29,130,183,839,3771,-2932,IVAN CEPEDA,2932,0.5615782417161463,130,183,51,9176.0,9540.0,0.14977189690699255,1.3724128478186866,14631.0
17,48,CHOCO,UNGUIA,3910,3882,1221,2,14,3,2411,2,7,5,13,93,0,41,22,9,52,15,1221,2411,-1190,IVAN CEPEDA,1190,0.306543019062339,52,15,13,6371.0,6451.0,0.261081838235204,2.290247856544671,10281.0
17,60,CHOCO,UNION PANAMERICANA (LAS ANIMAS,2378,2294,401,1,12,5,1631,9,6,14,8,117,1,15,23,14,45,76,401,1631,-1230,IVAN CEPEDA,1230,0.5361813426329556,45,76,8,3725.0,3854.0,0.14168349444508688,1.1698985062744978,6103.0
17,82,CHOCO,NUEVO BELEN DE BAJIRA,5196,5123,1453,3,17,2,3224,3,16,9,22,165,7,70,63,7,84,51,1453,3224,-1771,IVAN CEPEDA,1771,0.3456958813195393,84,51,22,7378.0,7535.0,0.24014027464499085,2.1438395303343127,12574.0
19,1,HUILA,NEIVA,185948,183829,85998,83,1447,33,71549,89,416,162,200,11552,161,1951,7149,141,3098,1919,85998,71549,14449,ABELARDO DE LA ESPRIELLA,14449,0.0786002208574272,3098,1919,200,111277.0,116494.0,1.3681418149039266,15.96020012587153,297225.0
19,4,HUILA,ACEVEDO,12903,12760,8820,6,43,3,2115,9,16,35,29,1145,14,146,199,21,188,114,8820,2115,6705,ABELARDO DE LA ESPRIELLA,6705,0.5254702194357367,188,114,29,10706.0,11037.0,0.17655788465129751,1.6435948528737467,23609.0
