departamento,municipio,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipio_nombre,potencial,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada
1,22,1004,2,19,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0065539841324594,0.0064297800338409,3031.0
1,22,1005,13,1,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0003449465332873,0.0003384094754653,3031.0
1,22,1006,9,3,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.001034839599862,0.0010152284263959,3031.0
1,22,3001,5,4,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGELOPOLIS,5986.0,3,19.0,2955,2899,0.0013797861331493,0.0013536379018612,3031.0
1,25,0,996,128,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0368027602070155,0.0349059176438505,5795.0
1,25,0,997,116,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,,0.0316334878647395,5795.0
1,25,0,998,73,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,,0.0199072811562585,5795.0
1,25,9,11,600,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.1725129384703853,0.1636214889555494,5795.0
1,25,15,12,178,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0511788384128809,0.0485410417234796,5795.0
1,25,20,6,31,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0089131684876365,0.00845377692937,5795.0
1,25,21,10,2,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0005750431282346,0.0005454049631851,5795.0
1,25,22,8,11,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0031627372052903,0.0029997272975184,5795.0
1,25,26,1,559,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.1607245543415756,0.1524406872102536,5795.0
1,25,1001,3,76,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0218516388729154,0.0207253886010362,5795.0
1,25,1002,7,20,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0057504312823461,0.0054540496318516,5795.0
