territorio,indicador,periodo_fecha,periodo_label,tipo_eleccion,anio,valor,fuente,orden
CESAR,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,22014,Histórico 2006-2026,1
CESAR,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,6232,Histórico 2006-2026,1
CHOCO,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,214609,Histórico 2006-2026,1
CHOCO,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,88705,Histórico 2006-2026,1
CHOCO,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,75448,Histórico 2006-2026,1
CHOCO,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,74182,Histórico 2006-2026,1
CHOCO,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,1266,Histórico 2006-2026,1
CHOCO,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,8357,Histórico 2006-2026,1
CHOCO,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,4900,Histórico 2006-2026,1
CONSULADOS,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,273687,Histórico 2006-2026,1
CONSULADOS,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,41188,Histórico 2006-2026,1
CONSULADOS,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,37176,Histórico 2006-2026,1
CONSULADOS,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,35321,Histórico 2006-2026,1
CONSULADOS,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,1855,Histórico 2006-2026,1
CONSULADOS,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,2947,Histórico 2006-2026,1
CONSULADOS,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,1065,Histórico 2006-2026,1
CORDOBA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,906876,Histórico 2006-2026,1
CORDOBA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,464509,Histórico 2006-2026,1
CORDOBA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,406076,Histórico 2006-2026,1
CORDOBA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,401906,Histórico 2006-2026,1
CORDOBA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,4170,Histórico 2006-2026,1
CORDOBA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,44544,Histórico 2006-2026,1
CORDOBA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,13889,Histórico 2006-2026,1
CUNDINAMARCA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,1309689,Histórico 2006-2026,1
CUNDINAMARCA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,555232,Histórico 2006-2026,1
CUNDINAMARCA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,437820,Histórico 2006-2026,1
CUNDINAMARCA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,417266,Histórico 2006-2026,1
CUNDINAMARCA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,20554,Histórico 2006-2026,1
CUNDINAMARCA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,93996,Histórico 2006-2026,1
CUNDINAMARCA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,23416,Histórico 2006-2026,1
GUAINIA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,16060,Histórico 2006-2026,1
GUAINIA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,7117,Histórico 2006-2026,1
GUAINIA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,6568,Histórico 2006-2026,1
GUAINIA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,6467,Histórico 2006-2026,1
GUAINIA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,101,Histórico 2006-2026,1
GUAINIA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,243,Histórico 2006-2026,1
GUAINIA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,306,Histórico 2006-2026,1
GUAVIARE,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,44559,Histórico 2006-2026,1
GUAVIARE,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,15899,Histórico 2006-2026,1
GUAVIARE,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,14161,Histórico 2006-2026,1
GUAVIARE,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,13972,Histórico 2006-2026,1
GUAVIARE,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,189,Histórico 2006-2026,1
GUAVIARE,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,1363,Histórico 2006-2026,1
GUAVIARE,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,375,Histórico 2006-2026,1
HUILA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,591276,Histórico 2006-2026,1
HUILA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,241297,Histórico 2006-2026,1
HUILA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,207875,Histórico 2006-2026,1
HUILA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,202842,Histórico 2006-2026,1
HUILA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,5033,Histórico 2006-2026,1
HUILA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,26171,Histórico 2006-2026,1
HUILA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,7251,Histórico 2006-2026,1
LA GUAJIRA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,374775,Histórico 2006-2026,1
LA GUAJIRA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,129352,Histórico 2006-2026,1
LA GUAJIRA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,108472,Histórico 2006-2026,1
LA GUAJIRA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,105830,Histórico 2006-2026,1
LA GUAJIRA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,2642,Histórico 2006-2026,1
LA GUAJIRA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,14953,Histórico 2006-2026,1
LA GUAJIRA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,5927,Histórico 2006-2026,1
MAGDALENA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,684288,Histórico 2006-2026,1
MAGDALENA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,309704,Histórico 2006-2026,1
MAGDALENA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,269419,Histórico 2006-2026,1
MAGDALENA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,265816,Histórico 2006-2026,1
MAGDALENA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,3603,Histórico 2006-2026,1
MAGDALENA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,34030,Histórico 2006-2026,1
MAGDALENA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,6255,Histórico 2006-2026,1
META,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,449986,Histórico 2006-2026,1
META,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,181777,Histórico 2006-2026,1
META,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,153303,Histórico 2006-2026,1
META,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,146517,Histórico 2006-2026,1
META,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,6786,Histórico 2006-2026,1
META,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,21899,Histórico 2006-2026,1
META,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,6575,Histórico 2006-2026,1
NARIÑO,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,861168,Histórico 2006-2026,1
NARIÑO,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,368790,Histórico 2006-2026,1
NARIÑO,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,306404,Histórico 2006-2026,1
NARIÑO,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,299698,Histórico 2006-2026,1
NARIÑO,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,6706,Histórico 2006-2026,1
NARIÑO,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,47378,Histórico 2006-2026,1
NARIÑO,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,15008,Histórico 2006-2026,1
NORTE DE SAN,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,852252,Histórico 2006-2026,1
NORTE DE SAN,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,364435,Histórico 2006-2026,1
NORTE DE SAN,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,310319,Histórico 2006-2026,1
NORTE DE SAN,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,302657,Histórico 2006-2026,1
NORTE DE SAN,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,7662,Histórico 2006-2026,1
NORTE DE SAN,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,44190,Histórico 2006-2026,1
NORTE DE SAN,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,9926,Histórico 2006-2026,1
PUTUMAYO,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,154911,Histórico 2006-2026,1
PUTUMAYO,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,51983,Histórico 2006-2026,1
PUTUMAYO,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,44072,Histórico 2006-2026,1
PUTUMAYO,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,42829,Histórico 2006-2026,1
PUTUMAYO,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,1243,Histórico 2006-2026,1
PUTUMAYO,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,5930,Histórico 2006-2026,1
PUTUMAYO,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,1981,Histórico 2006-2026,1
QUINDIO,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,375447,Histórico 2006-2026,1
QUINDIO,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,168356,Histórico 2006-2026,1
QUINDIO,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,143853,Histórico 2006-2026,1
QUINDIO,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,140379,Histórico 2006-2026,1
QUINDIO,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,3474,Histórico 2006-2026,1
QUINDIO,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,17853,Histórico 2006-2026,1
QUINDIO,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,6650,Histórico 2006-2026,1
